Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
08/4/14,0.44 ,0.03 ,0.67 ,0.76 ,0.16 ,0.11 ,0.13 ,0.02 ,0.36 ,0.00 ,0.21 ,0.14 ,0.07 ,0.55 ,0.10 ,-0.06 ,0.14 ,0.08 ,0.38 ,0.13 ,0.13 ,0.03 ,0.01 ,0.07 ,0.30 
4/21,0.37 ,0.17 ,0.64 ,0.69 ,0.31 ,0.11 ,0.28 ,0.16 ,0.35 ,0.02 ,0.23 ,0.02 ,0.20 ,0.97 ,0.06 ,-0.01 ,0.24 ,0.08 ,0.27 ,0.88 ,0.10 ,-0.01 ,-0.16 ,0.04 ,0.21 
4/28,0.24 ,0.09 ,0.52 ,0.44 ,0.03 ,0.11 ,0.21 ,0.06 ,0.20 ,0.08 ,0.27 ,0.07 ,0.16 ,0.70 ,0.10 ,-0.03 ,0.26 ,0.24 ,0.11 ,0.49 ,0.05 ,0.02 ,-0.06 ,0.03 ,0.07 
5/5,0.43 ,0.03 ,0.53 ,0.19 ,0.24 ,0.18 ,0.27 ,0.03 ,0.31 ,0.00 ,0.27 ,0.00 ,0.07 ,0.32 ,-0.01 ,-0.02 ,0.48 ,0.27 ,0.36 ,0.24 ,0.11 ,-0.02 ,-0.25 ,-0.05 ,0.13 
5/12,0.73 ,0.07 ,0.33 ,0.28 ,0.24 ,0.08 ,0.49 ,-0.02 ,0.26 ,0.14 ,0.28 ,-0.06 ,0.00 ,0.56 ,0.01 ,-0.16 ,0.37 ,0.26 ,0.37 ,0.37 ,0.02 ,-0.07 ,-0.09 ,0.00 ,0.14 
5/19,0.13 ,0.04 ,0.19 ,0.26 ,0.05 ,0.04 ,0.21 ,0.06 ,0.44 ,0.05 ,0.09 ,0.00 ,0.00 ,0.47 ,-0.03 ,-0.31 ,0.27 ,0.28 ,0.14 ,0.60 ,0.14 ,0.00 ,-0.15 ,0.02 ,0.09 
5/26,0.39 ,0.01 ,0.32 ,0.11 ,0.12 ,0.15 ,0.17 ,-0.01 ,0.33 ,0.03 ,0.14 ,0.06 ,0.00 ,0.41 ,-0.05 ,-0.45 ,0.25 ,0.11 ,0.10 ,0.23 ,0.22 ,-0.01 ,-0.10 ,0.03 ,0.14 
6/2,0.38 ,0.06 ,0.18 ,0.17 ,0.18 ,0.16 ,0.27 ,0.01 ,0.32 ,0.14 ,0.34 ,0.06 ,0.00 ,0.34 ,-0.10 ,-0.17 ,0.34 ,0.22 ,0.11 ,0.34 ,0.01 ,0.00 ,-0.16 ,0.01 ,0.13 
6/9,0.27 ,-0.02 ,0.17 ,0.31 ,0.13 ,0.07 ,0.38 ,0.03 ,0.19 ,0.02 ,0.17 ,0.13 ,0.00 ,0.01 ,-0.06 ,-0.14 ,0.10 ,0.16 ,0.08 ,0.35 ,0.09 ,-0.02 ,0.01 ,0.06 ,0.19 
6/16,0.04 ,0.00 ,0.23 ,0.14 ,0.03 ,0.12 ,0.17 ,-0.01 ,0.05 ,0.07 ,0.38 ,0.19 ,0.00 ,0.16 ,-0.06 ,-0.03 ,0.14 ,0.00 ,0.18 ,0.21 ,0.05 ,-0.05 ,-0.21 ,-0.03 ,0.04 
